,Solvent,FileHandle,NC_K,SIGMA_K,TAU,Solvation_Energy,Total_Energy,No.,SoluteName,Formula,Subset,Charge,Level1,Level2,Level3,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea,error,error_ev,error_frac
0,water,0157flu,0.001,0.2,0.00067,0.07386700000000701,-76.193434,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-2.483373020000162,-0.10769180485690208,3.1838115641027716
1,water,0157flu,0.002,0.8666666666666667,1e-05,-0.20015099999999109,-76.467452,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,3.8354820599997943,0.16632619514309602,-4.917284692307429
2,water,0157flu,0.001,1.2,0.001,-0.042743999999999005,-76.310045,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,0.20567663999997698,0.008919195143103943,-0.2636879999999705
3,water,0157flu,0.001,0.2,0.001,0.15246700000000146,-76.114834,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-4.2958890200000335,-0.18629180485689653,5.507550025641068
4,water,0157flu,0.003,0.5333333333333333,0.00034,-0.09700699999999074,-76.364308,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,1.4569814199997861,0.06318219514309567,-1.8679248974356233
5,water,0157flu,0.001,0.5333333333333333,0.001,0.11466500000000224,-76.152636,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-3.424174900000051,-0.1484898048568973,4.389967820512886
6,water,0157flu,0.004,0.8666666666666667,1e-05,-0.3983779999999939,-76.665679,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,8.40659667999986,0.36455319514309886,-10.77768805128187
7,water,0157flu,0.004,1.2,0.00034,-1.4451469999999915,-77.712448,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,32.5450898199998,1.4113221951430965,-41.724474128204875
8,water,0157flu,0.001,0.2,0.00034,0.005553000000006136,-76.261748,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-0.9080521800001415,-0.0393778048569012,1.1641694615386429
9,water,0157flu,0.002,0.2,0.00067,0.03494100000000344,-76.23236,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-1.5857394600000794,-0.06876580485689851,2.0329993076924096
