,Solvent,FileHandle,NC_K,SIGMA_K,TAU,Solvation_Energy,Total_Energy,No.,SoluteName,Formula,Subset,Charge,Level1,Level2,Level3,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea,error,error_ev,error_frac,area_solute,volume_solute,sigma_solute_0,sigma_solute_1,sigma_solute_2,sigma_solute_3,sigma_solute_4,sigma_solute_5,sigma_solute_6,sigma_solute_7,sigma_solute_8,sigma_solute_9,sigma_solute_10,sigma_solute_11,sigma_solute_12,sigma_solute_13,sigma_solute_14,sigma_solute_15,sigma_solute_16,sigma_solute_17,sigma_solute_18,sigma_solute_19,sigma_solute_20,sigma_solute_21,sigma_solute_22,sigma_solute_23,sigma_solute_24,sigma_solute_25,sigma_solute_26,sigma_solute_27,sigma_solute_28,sigma_solute_29,sigma_solute_30,sigma_solute_31,sigma_solute_32,sigma_solute_33,sigma_solute_34,sigma_solute_35,sigma_solute_36,sigma_solute_37,sigma_solute_38,sigma_solute_39,sigma_solute_40,sigma_solute_41,sigma_solute_42,sigma_solute_43,sigma_solute_44,sigma_solute_45,sigma_solute_46,sigma_solute_47,sigma_solute_48,sigma_solute_49,sigma_solute_50,area_solvent,volume_solvent,sigma_solvent_0,sigma_solvent_1,sigma_solvent_2,sigma_solvent_3,sigma_solvent_4,sigma_solvent_5,sigma_solvent_6,sigma_solvent_7,sigma_solvent_8,sigma_solvent_9,sigma_solvent_10,sigma_solvent_11,sigma_solvent_12,sigma_solvent_13,sigma_solvent_14,sigma_solvent_15,sigma_solvent_16,sigma_solvent_17,sigma_solvent_18,sigma_solvent_19,sigma_solvent_20,sigma_solvent_21,sigma_solvent_22,sigma_solvent_23,sigma_solvent_24,sigma_solvent_25,sigma_solvent_26,sigma_solvent_27,sigma_solvent_28,sigma_solvent_29,sigma_solvent_30,sigma_solvent_31,sigma_solvent_32,sigma_solvent_33,sigma_solvent_34,sigma_solvent_35,sigma_solvent_36,sigma_solvent_37,sigma_solvent_38,sigma_solvent_39,sigma_solvent_40,sigma_solvent_41,sigma_solvent_42,sigma_solvent_43,sigma_solvent_44,sigma_solvent_45,sigma_solvent_46,sigma_solvent_47,sigma_solvent_48,sigma_solvent_49,sigma_solvent_50
510,octanol,0001met,0.0025,0.6,0.000525,0.028653000000002,-24.016803,1578,methane,H4C1,[g],0,2,1,1,0.51,abs,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0,0.2304,51.962,18.185,35.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.146,0.1507381800000469,-0.0065367814397244,-0.2955650588236214,56.00743,37.95554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70820528367328,5.4569147163267,8.98479179174966,5.88970293151595,6.03013126806407,7.29041678653869,15.8236069260275,3.82367029610415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.69824,201.77709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521655742414886,1.27733633447545,0.75260792310967,0.735885074360788,0.25914318069025,1.12057431903975,1.29827405603542,0.676903369873794,0.722969081185399,1.24171979397126,1.9980219873184,5.66670623229405,18.177363528914,31.8001328052458,36.4654867218233,27.0642285778936,26.4729943886689,20.0792084872051,12.5807942257412,2.38068056574905,1.0287921047904,1.19824857583736,0.94064904898747,0.639605296412729,1.02557012051774,0.580444764712524,2.00410204817545,1.98787659641916,2.02333357437879,1.55567143097791,1.22801408365843,0.193255959122007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,water,0002eth,0.0025,0.6,0.000525,0.0317410000000037,-40.483197,2094,ethane,H6C2,[a],0,2,1,1,1.83,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,77.127,20.282,51.988,12.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.41,1.0980525399999126,0.0476171960104038,0.6000287103824659,77.55934,58.80969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198799547014486,7.40117145727647,9.89669054484765,15.4253468061066,10.1030053183925,14.9710259939722,17.0357980626668,2.52747226972342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,water,0003pro,0.0025,0.6,0.000525,0.0347170000000005,-56.999758,2095,n-propane,H8C3,[a],0,2,1,1,1.96,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,99.322,22.641,66.901,16.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.963,1.1594259799999873,0.0502786634865562,0.5915438673469323,97.62596,80.70296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553394481501168,9.49494217575356,14.1121567601163,19.2641540193319,13.0603307833766,15.9882698465905,16.8106711927957,7.99005757305194,0.351873167482263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,water,0004nbu,0.0025,0.6,0.000525,0.044792000000001,-73.535395,2096,n-butane,H10C4,[a],0,2,1,1,2.08,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,121.047,25.309,81.503,19.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.356,1.0470964799999758,0.0454074796183857,0.5034117692307576,117.34325,102.43321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544588135073877,9.80065439624953,17.8972660229419,23.9077512052113,17.5435397896482,18.2584038556234,19.2142975482379,9.84334519690273,0.333543850111165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,water,0005npe,0.0025,0.6,0.000525,0.0474899999999962,-90.061009,2097,n-pentane,H12C5,[a],0,2,1,1,2.33,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,142.678,28.033,96.048,23.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.711,1.2348806000000865,0.0535507632263697,0.5299916738197796,137.25424,124.3021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535564144503046,9.99577750682967,21.5934466801405,28.9729047723171,21.7793170385928,21.5974119367496,20.4889635021222,11.906394677346,0.38459974139912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,water,0006nhe,0.0025,0.6,0.000525,0.0581999999999993,-106.55213,2098,n-hexane,H14C6,[a],0,2,1,1,2.49,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,164.387,30.708,110.642,26.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.095,1.147908000000015,0.0497791847354733,0.4610072289156686,157.18774,146.12927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534265081259704,10.4685836495902,24.7466865443288,34.1311966386804,26.0638754078105,24.8653889030593,22.175454397476,13.8396894388992,0.362789938895962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,water,0007nhe,0.0025,0.6,0.000525,0.0608300000000099,-123.10493,2099,n-heptane,H16C7,[a],0,2,1,1,2.62,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,186.066,33.38,125.206,29.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.446,1.2172601999997712,0.0527866522116119,0.464603129770905,176.93423,167.98102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527077517391213,10.8765844176042,28.0724734696549,39.3241479573832,30.0667936678952,28.341227226513,23.3417962556806,16.1121778348607,0.272001653017021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,water,0008noc,0.0025,0.6,0.000525,0.0708600000000103,-139.62362,2100,n-octane,H18C8,[a],0,2,1,1,2.89,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.846,1.2559683999997613,0.054465238508229,0.4345911418684295,197.02835,189.79275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523936875233506,11.2472517117919,31.2239874646638,44.6671636146106,34.2689440738784,31.9346510053684,25.1101207672417,17.661629677113,0.390704810098711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,water,0010met,0.0025,0.6,0.000525,0.0368090000000052,-73.576742,2101,2-methylpropane,H10C4,[a],0,2,1,2,2.32,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,118.32,25.092,79.672,16.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.412,1.47118445999988,0.0637981118820416,0.634131232758569,130.24956,125.33547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941707446433869,14.3863814235839,24.1352784962425,24.9660419111853,12.7019242665418,12.9957522766262,18.4810068379711,20.2185181880598,1.42318915335551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,water,0011dim,0.0025,0.6,0.000525,0.0371800000000064,-90.113976,2102,"2,2-dimethylpropane",H12C5,[a],0,2,1,2,2.5,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,134.107,27.467,90.299,16.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.575,1.6426291999998517,0.0712328360797854,0.6570516799999406,130.24956,125.33547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941707446433869,14.3863814235839,24.1352784962425,24.9660419111853,12.7019242665418,12.9957522766262,18.4810068379711,20.2185181880598,1.42318915335551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.26923,25.73454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633945731595672,2.37761900179846,2.96856453401069,1.44455552560136,1.82204175422228,2.0035541750845,2.54564325007972,1.95869731379855,0.996725046164532,0.401363667644232,0.487173310652182,1.16535469657945,0.80350149150495,1.34866749331213,0.0608730079512938,0.0185275790583925,0.836695456381842,1.07831423996057,0.499516266810168,1.15689095262957,0.733891941014743,0.706732990947829,1.39022210273648,0.917417664068398,1.4426609771939,0.433118284033373,0.950353682683297,1.22948395992861,2.3088478650768,2.32448781457174,2.72211829071641,1.36818069695619,2.05339247450154,0.0801467607301477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
